Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount
2015-04-30,2016-01-12,257,6,2015/2365,55312.72,55312.72
2015-04-30,2016-01-12,257,6,2015/2365,61596.66,61596.66
2016-05-25,2018-07-31,797,6,2016/3071,83514.83,83514.83
2015-06-22,2016-03-30,282,6,2015/2440,65187.87,65187.87
2015-05-31,2016-01-25,239,6,2015/2400,52125.61,52125.61
2016-09-22,2018-07-31,677,6,2016/3273,43060.1,24669.85
2016-09-22,2018-07-31,677,6,2016/3273,43060.1,18390.25
2016-09-21,2018-07-31,678,6,2016/3270,22605.04,22605.04
2016-09-22,2018-07-31,677,6,2016/3273,9292.81,9292.81
2016-03-14,2016-07-10,118,6,2016/2954,15144.39,15144.39
2018-07-16,2018-08-08,23,7,2018/4354,87659.38,87659.38
2018-08-08,2018-09-05,28,7,2018/4386,87659.38,144.42
2018-08-08,2018-09-05,28,7,2018/4386,87659.38,93.09
2018-08-08,2018-09-05,28,7,2018/4386,87659.38,87344.3
2018-08-08,2018-09-05,28,7,2018/4386,87659.38,77.57
2015-12-14,2015-12-14,0,8,2015/2785,54120.07,54120.07
2023-08-31,2023-09-22,22,9,2023-6555,209466.25,209466.25
2023-06-30,2023-07-24,24,9,2023-6446,113482.35,113482.35
2022-12-31,2023-01-23,23,9,2022-6218,58387.54,58387.54
2023-09-30,2023-10-23,23,9,2023-6582,119525.69,119525.69
2024-01-31,2024-02-28,28,9,2024-6723,119525.69,119525.69
2022-11-30,2022-12-27,27,9,2022-6157,44851.87,44851.87
2022-12-31,2023-01-23,23,9,2022-6218,75603.07,75603.07
2022-10-31,2022-11-25,25,9,2022-6123,83489.65,83489.65
2024-02-29,2024-05-09,70,9,2024-6758,46483.97,46483.97
2023-04-28,2023-05-08,10,9,2023-6377,59922.56,59922.56
2022-11-30,2022-12-27,27,9,2022-6157,41809.18,41809.18
2022-09-30,2022-10-21,21,9,2022-6094,34312.66,34312.66
2022-10-31,2022-11-25,25,9,2022-6123,44950.27,44950.27
2022-04-28,2022-04-28,0,9,2022-5876,30287.24,19489.86
2022-04-28,2022-05-05,7,9,2022-5876,30287.24,10797.38
2022-04-28,2022-04-28,0,9,2022-5876,31578.29,31578.29
2022-09-30,2022-10-21,21,9,2022-6094,18691.56,18691.56
2022-09-30,2022-11-25,56,9,2022-6096,15015.46,15015.46
2022-11-30,2022-12-27,27,9,2022-6166,15015.46,15015.46
2022-12-31,2023-01-23,23,9,2022-6226,15015.46,15015.46
2023-01-31,2023-02-23,23,9,2023-6261,15015.46,15015.46
2023-02-28,2023-03-22,22,9,2023-6315,15015.46,15015.46
2023-03-31,2023-04-19,19,9,2023-6348,15015.46,15015.46
2023-04-28,2023-05-08,10,9,2023-6376,15015.46,15015.46
2023-05-31,2023-07-03,33,9,2023-6420,15015.46,15015.46
2023-06-30,2023-07-24,24,9,2023-6447,15015.46,15015.46
2023-07-31,2023-08-28,28,9,2023-6476,15015.46,15015.46
2023-08-31,2023-09-22,22,9,2023-6527,15015.46,15015.46
2023-09-28,2023-10-23,25,9,2023-6543,15015.46,15015.46
2023-10-31,2023-11-21,21,9,2023-6599,15015.46,15015.46
2023-11-30,2023-12-22,22,9,2023-6644,15015.46,15015.46
2023-12-31,2024-05-09,130,9,2023-6688,15015.46,15015.46
2024-01-31,2024-05-09,99,9,2024-6724,15015.46,15015.46
2024-02-29,2024-05-09,70,9,2024-6758,15015.46,15015.46
2024-03-29,2024-05-09,41,9,2024-6794,15015.46,15015.46
2024-04-30,2024-05-27,27,9,2024-6823,15015.46,15015.46
2022-09-30,2022-11-25,56,9,2022-6096,22088.32,22088.32
2022-11-30,2022-12-27,27,9,2022-6166,22088.32,22088.32
2022-12-31,2023-01-23,23,9,2022-6226,22088.32,22088.32
2023-01-31,2023-02-23,23,9,2023-6261,22088.32,22088.32
2023-02-28,2023-03-22,22,9,2023-6315,22088.32,22088.32
2023-03-31,2023-04-19,19,9,2023-6348,22088.32,22088.32
2023-04-28,2023-05-08,10,9,2023-6376,22088.32,22088.32
2023-05-31,2023-07-03,33,9,2023-6420,22088.32,22088.32
2023-06-30,2023-07-24,24,9,2023-6447,22088.32,22088.32
2023-07-31,2023-08-28,28,9,2023-6476,22088.32,22088.32
2023-08-31,2023-09-22,22,9,2023-6527,22088.32,22088.32
2023-09-28,2023-10-23,25,9,2023-6543,22088.32,22088.32
2023-10-31,2023-11-21,21,9,2023-6599,22088.32,22088.32
2023-11-30,2023-12-22,22,9,2023-6644,22088.32,22088.32
2023-12-31,2024-05-09,130,9,2023-6688,22088.32,22088.32
2024-01-31,2024-05-09,99,9,2024-6724,22088.32,22088.32
2024-03-29,2024-05-09,41,9,2024-6794,22088.32,22088.32
2024-04-30,2024-05-27,27,9,2024-6823,22088.32,22088.32
2023-03-23,2023-04-19,27,9,2023-6337,15173.93,15173.93
2023-07-31,2023-08-28,28,9,2023-6476,15173.93,15173.93
2022-04-28,2022-04-28,0,9,2022-5876,5497.8,5497.8
2015-04-30,2015-09-20,143,10,E15/683,177628.16,177628.16
2014-12-31,2015-06-01,152,10,E14/647,88423.03,88423.03
2015-10-29,2016-07-14,259,10,2015/2683,75505.23,75505.23
2014-12-31,2016-05-11,497,10,E14/650,118573.03,52699.13
2014-12-31,2016-05-16,502,10,E14/650,118573.03,65873.91
2015-01-31,2016-05-16,471,10,E15/652,118573.03,118573.03
2015-03-31,2015-09-20,173,10,E15/668,97826.75,97826.75
2015-06-30,2015-09-20,82,10,2015/2469,113148.77,113148.77
2015-06-30,2015-09-20,82,10,2015/2469,113148.77,113148.77
2015-07-31,2015-11-25,117,10,2015/2506,113148.77,113148.77
2015-08-31,2015-11-25,86,10,2015/2569,113148.77,113148.77
2015-12-31,2016-11-17,322,10,2015/2805,113148.77,113148.77
2014-09-30,2015-02-16,139,10,E14/618,49640.59,49640.59
2015-01-31,2015-06-01,121,10,E15/653,49640.59,49640.59
2015-01-31,2016-07-26,542,10,E15/654,49640.59,4964.06
2015-01-31,2016-07-26,542,10,E15/654,49640.59,9928.12
2015-01-31,2016-08-02,549,10,E15/654,49640.59,34748.41
2015-03-31,2015-09-20,173,10,E15/668,49377.1,49377.1
2014-12-31,2015-02-16,47,10,E14/618,32276.48,32276.48
2015-03-31,2016-08-02,490,10,E15/674,32276.48,32276.48
2016-02-29,2017-12-18,658,10,2016/2913,40989.94,40989.94
2015-03-31,2016-05-16,412,10,E15/675,24231.37,24231.37
2016-04-30,2017-12-18,597,10,2016/3034,20618.93,20618.93
2015-09-09,2015-11-11,63,11,2015/2608,16937.3,16937.3
2015-09-09,2015-11-11,63,11,2015/2609,21346.75,21346.75
2014-10-31,2015-09-09,313,11,2014/2193,9141.82,9141.82
2014-10-31,2015-09-09,313,11,2014/2194,9141.82,9141.82
2015-01-29,2015-09-09,223,11,2015/2277,9141.82,9141.82
2015-01-29,2015-09-09,223,11,2015/2278,9141.82,9141.82
2015-09-09,2015-11-11,63,11,2015/2608,7121.77,7121.77
2015-09-09,2015-11-11,63,11,2015/2609,7121.77,7121.77
2015-09-09,2015-11-11,63,11,2015/2609,7121.77,7121.77
2019-11-30,2020-01-22,53,12,2019-4981,649377.99,649377.99
2019-10-20,2020-01-22,94,12,2019-4933,320050.39,320050.39
2019-10-13,2020-02-23,133,12,2019-4923,16764.83,16764.83
2019-12-30,2020-03-08,69,13,2019-5005,622358.91,581792.67
2019-12-30,2023-10-31,1401,13,2019-5005,622358.91,40566.24
2019-10-31,2020-01-06,67,13,2019-4958,727461.04,692820.03
2019-10-31,2023-10-31,1461,13,2019-4958,727461.04,34641.0
2019-10-31,2020-01-13,74,13,2019-4959,636130.96,600576.94
2019-10-31,2023-10-31,1461,13,2019-4959,636130.96,35554.01
2019-10-23,2020-01-06,75,13,2019-4935,437752.27,437752.27
2023-11-30,2024-02-29,91,13,2023-6637,456969.0,435208.57
2019-12-30,2020-03-08,69,13,2019-5005,267638.47,267638.47
2022-07-29,2022-09-02,35,13,2022-5973,366318.96,366318.96
2022-10-13,2022-12-31,79,13,2022-6106,246181.68,229736.78
2023-03-10,2023-06-01,83,13,2023-6325,259487.91,259487.91
2023-11-30,2024-02-29,91,13,2023-6638,259487.91,247131.35
2019-10-31,2020-01-13,74,13,2019-4959,293246.36,293246.36
2019-10-23,2020-06-23,244,13,2019-4935,370954.47,7914.98
2019-10-23,2020-01-06,75,13,2019-4935,370954.47,311804.42
2019-10-23,2023-10-31,1469,13,2019-4935,370954.47,51235.06
2022-12-08,2023-01-24,47,13,2022-6170,294677.13,294677.13
2024-02-14,2024-05-01,77,13,2024-6740,294677.13,280644.88
2019-10-23,2020-01-06,75,13,2019-4935,251790.87,251790.87
2022-07-07,2023-03-03,239,13,2022-5962,198507.28,189054.56
2022-09-02,2022-12-05,94,13,2022-6033,237226.71,219391.66
2022-12-16,2023-03-03,77,13,2022-6201,142020.18,135257.32
2023-11-09,2024-01-26,78,13,2023-6622,209044.36,209044.36
2023-11-30,2024-02-29,91,13,2023-6640,115535.24,110033.56
2022-06-16,2022-08-31,76,13,2022-5931,151868.62,133732.04
2023-06-08,2023-09-05,89,13,2023-6436,159680.41,152076.58
2019-10-31,2020-01-13,74,13,2019-4959,209466.25,209466.25
2023-07-28,2023-09-05,39,13,2023-6471,105005.35,3669.2
2023-07-28,2023-10-31,95,13,2023-6471,105005.35,96066.3
2022-06-16,2022-08-31,76,13,2022-5931,70786.87,70786.87
2022-07-29,2022-09-02,35,13,2022-5973,148791.96,148791.96
2024-01-26,2024-03-29,63,13,2024-6717,158707.75,151150.24
2023-02-10,2023-04-28,77,13,2023-6276,105543.16,100517.29
2019-12-23,2020-03-05,73,13,2019-5002,140656.9,140656.9
2022-09-02,2022-12-05,94,13,2022-6033,150761.18,150761.18
2022-12-08,2023-01-24,47,13,2022-6170,150761.18,150761.18
2023-01-24,2023-04-06,72,13,2023-6244,150761.18,143582.07
2022-08-18,2022-11-02,76,13,2022-6000,73655.3,70147.9
2023-06-14,2023-09-05,83,13,2023-6443,81094.18,77232.55
2022-06-16,2022-08-31,76,13,2022-5931,65988.71,65988.71
2022-10-13,2022-12-31,79,13,2022-6106,86859.25,86859.25
2022-04-07,2022-06-02,56,13,2022-5865,109620.69,104400.66
2022-06-14,2022-08-31,78,13,2022-5928,109620.69,104400.66
2023-06-08,2023-09-05,89,13,2023-6435,109620.69,104400.66
2023-11-30,2024-02-29,91,13,2023-6639,112493.23,107136.41
2022-11-25,2022-12-28,33,13,2022-6156,40311.1,40311.1
2023-03-10,2023-06-01,83,13,2023-6326,99834.85,99834.85
2022-12-08,2023-03-03,85,13,2022-6169,85465.66,85465.66
2023-01-11,2023-04-06,85,13,2023-6242,85465.66,85465.66
2023-04-06,2023-07-28,113,13,2023-6351,74562.15,74562.15
2023-04-11,2023-09-05,147,13,2023-6354,95133.75,95133.75
2022-01-04,2022-04-14,100,13,2022-5766,69975.7,69975.7
2022-02-08,2022-05-13,94,13,2022-5796,69975.7,66643.52
2022-03-09,2022-05-13,65,13,2022-5833,69975.7,66643.52
2022-05-26,2022-07-29,64,13,2022-5896,69975.7,69975.7
2022-07-07,2022-10-03,88,13,2022-5961,69975.7,69975.7
2022-09-15,2022-12-05,81,13,2022-6036,69975.7,69975.7
2022-10-13,2022-12-31,79,13,2022-6107,69975.7,69975.7
2022-11-11,2023-02-10,91,13,2022-6153,69975.7,69975.7
2023-05-12,2023-09-05,116,13,2023-6403,69975.7,69975.7
2023-07-31,2023-10-31,92,13,2023-6478,69975.7,66643.52
2023-03-10,2023-06-01,83,13,2023-6325,83489.65,61632.26
2023-05-19,2024-02-29,286,13,2023-6407,83489.65,79513.95
2022-07-29,2022-10-03,66,13,2022-5972,28538.08,26351.63
2019-11-28,2020-02-25,89,13,2019-4968,30230.74,26172.19
2019-11-28,2023-10-31,1433,13,2019-4968,30230.74,4058.55
2022-09-15,2022-12-05,81,13,2022-6036,54941.62,49510.88
2022-10-13,2022-12-31,79,13,2022-6107,54941.62,49510.88
2022-11-11,2023-02-10,91,13,2022-6153,54941.62,49510.88
2022-12-08,2023-03-03,85,13,2022-6169,54941.62,49035.2
2023-03-10,2023-06-01,83,13,2023-6324,44113.59,42012.95
2023-07-28,2023-09-05,39,13,2023-6470,73116.8,174.09
2023-07-28,2023-09-05,39,13,2023-6470,73116.8,69460.96
2023-03-10,2023-06-26,108,13,2023-6323,59922.56,57069.11
2019-12-30,2020-04-02,94,13,2019-5015,41517.49,39540.47
2019-11-28,2020-02-25,89,13,2019-4968,58005.55,58005.55
2022-10-13,2022-12-31,79,13,2022-6105,32931.05,31362.9
2022-01-04,2022-04-14,100,13,2022-5766,63755.24,56800.12
2022-07-07,2022-10-03,88,13,2022-5961,63755.24,56800.12
2022-12-16,2023-03-03,77,13,2022-6199,63755.24,60719.28
2023-01-11,2023-04-06,85,13,2023-6242,63755.24,56137.73
2023-03-10,2023-06-01,83,13,2023-6326,63755.24,55827.24
2023-04-11,2023-09-05,147,13,2023-6354,63755.24,56489.63
2023-05-12,2023-09-05,116,13,2023-6403,63755.24,56800.12
2023-09-12,2023-11-29,78,13,2023-6552,63755.24,58290.51
2022-01-04,2022-04-14,100,13,2022-5767,40164.3,38251.71
2022-05-26,2022-07-29,64,13,2022-5896,36265.16,31751.64
2023-09-12,2023-11-29,78,13,2023-6552,36265.16,36265.16
2023-09-12,2023-11-29,78,13,2023-6554,44222.02,44222.02
2022-02-08,2022-02-18,10,13,2022-5797,39660.52,37771.92
2022-07-29,2022-10-03,66,13,2022-5972,23116.18,23116.18
2019-11-28,2020-02-25,89,13,2019-4968,31578.29,31578.29
